"export-plot data (NetLogo 6.2.2)"
"pong.nlogo"
"07/06/2022 01:10:31:947 +0200"

"MODEL SETTINGS"
"smoother","gamma","episodes","random-move-prob","epsilon"
"50","0.7","20000","0.1","0.17858137656955353"

"""Average reward per episode"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","20500","-2280","280","true","""pen-0""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""pen-0""","true","0","1","5","19999"

"""pen-0"""
"x","y","color","pen down?"
"0","-2069","5","true"
"1","-1982","5","true"
"2","-1888","5","true"
"3","-1885","5","true"
"4","-1986","5","true"
"5","-1982","5","true"
"6","-1775","5","true"
"7","-1982","5","true"
"8","-1890","5","true"
"9","-1784","5","true"
"10","-1783","5","true"
"11","-1881","5","true"
"12","-1978","5","true"
"13","-2075","5","true"
"14","-1888","5","true"
"15","-1875","5","true"
"16","-1589","5","true"
"17","-1890","5","true"
"18","-1688","5","true"
"19","-1987","5","true"
"20","-1888","5","true"
"21","-2086","5","true"
"22","-1876","5","true"
"23","-1986","5","true"
"24","-1990","5","true"
"25","-2086","5","true"
"26","-1891","5","true"
"27","-1973","5","true"
"28","-2081","5","true"
"29","-1885","5","true"
"30","-1883","5","true"
"31","-1985","5","true"
"32","-2089","5","true"
"33","-1883","5","true"
"34","-1893","5","true"
"35","-2083","5","true"
"36","-1875","5","true"
"37","-1791","5","true"
"38","-1982","5","true"
"39","-1986","5","true"
"40","-1784","5","true"
"41","-2087","5","true"
"42","-1993","5","true"
"43","-1791","5","true"
"44","-1988","5","true"
"45","-1782","5","true"
"46","-1690","5","true"
"47","-1885","5","true"
"48","-1889","5","true"
"49","-1781","5","true"
"50","-1985","5","true"
"51","-2093","5","true"
"52","-2083","5","true"
"53","-2071","5","true"
"54","-2082","5","true"
"55","-1884","5","true"
"56","-1889","5","true"
"57","-1889","5","true"
"58","-1584","5","true"
"59","-2076","5","true"
"60","-1990","5","true"
"61","-2084","5","true"
"62","-1986","5","true"
"63","-1890","5","true"
"64","-1789","5","true"
"65","-2093","5","true"
"66","-1787","5","true"
"67","-1691","5","true"
"68","-1990","5","true"
"69","-2094","5","true"
"70","-1984","5","true"
"71","-1892","5","true"
"72","-1779","5","true"
"73","-1887","5","true"
"74","-2087","5","true"
"75","-1992","5","true"
"76","-1881","5","true"
"77","-1889","5","true"
"78","-2096","5","true"
"79","-1885","5","true"
"80","-2086","5","true"
"81","-1979","5","true"
"82","-1888","5","true"
"83","-1976","5","true"
"84","-1779","5","true"
"85","-1881","5","true"
"86","-1990","5","true"
"87","-1982","5","true"
"88","-1893","5","true"
"89","-2088","5","true"
"90","-2084","5","true"
"91","-1989","5","true"
"92","-1890","5","true"
"93","-1793","5","true"
"94","-1887","5","true"
"95","-1791","5","true"
"96","-1782","5","true"
"97","-1885","5","true"
"98","-1986","5","true"
"99","-1881","5","true"
"100","-1692","5","true"
"101","-2078","5","true"
"102","-1795","5","true"
"103","-2087","5","true"
"104","-1980","5","true"
"105","-1893","5","true"
"106","-1975","5","true"
"107","-2078","5","true"
"108","-1881","5","true"
"109","-2096","5","true"
"110","-1776","5","true"
"111","-1881","5","true"
"112","-2090","5","true"
"113","-1885","5","true"
"114","-2081","5","true"
"115","-1884","5","true"
"116","-1786","5","true"
"117","-1879","5","true"
"118","-1792","5","true"
"119","-1989","5","true"
"120","-1883","5","true"
"121","-2082","5","true"
"122","-1872","5","true"
"123","-1683","5","true"
"124","-1669","5","true"
"125","-1885","5","true"
"126","-1889","5","true"
"127","-1987","5","true"
"128","-2088","5","true"
"129","-1877","5","true"
"130","-1987","5","true"
"131","-1982","5","true"
"132","-1883","5","true"
"133","-1786","5","true"
"134","-1891","5","true"
"135","-1780","5","true"
"136","-1890","5","true"
"137","-1687","5","true"
"138","-1982","5","true"
"139","-1978","5","true"
"140","-2082","5","true"
"141","-2086","5","true"
"142","-1887","5","true"
"143","-1777","5","true"
"144","-1891","5","true"
"145","-1490","5","true"
"146","-1984","5","true"
"147","-2084","5","true"
"148","-1879","5","true"
"149","-1880","5","true"
"150","-1577","5","true"
"151","-1985","5","true"
"152","-1886","5","true"
"153","-1780","5","true"
"154","-1990","5","true"
"155","-1771","5","true"
"156","-1994","5","true"
"157","-1888","5","true"
"158","-1691","5","true"
"159","-1786","5","true"
"160","-1992","5","true"
"161","-1887","5","true"
"162","-2081","5","true"
"163","-2086","5","true"
"164","-1878","5","true"
"165","-1778","5","true"
"166","-1876","5","true"
"167","-1989","5","true"
"168","-1988","5","true"
"169","-1989","5","true"
"170","-1785","5","true"
"171","-1990","5","true"
"172","-1785","5","true"
"173","-1783","5","true"
"174","-2076","5","true"
"175","-1889","5","true"
"176","-1983","5","true"
"177","-2081","5","true"
"178","-1978","5","true"
"179","-1790","5","true"
"180","-1876","5","true"
"181","-1982","5","true"
"182","-1983","5","true"
"183","-2087","5","true"
"184","-1886","5","true"
"185","-1684","5","true"
"186","-1584","5","true"
"187","-1986","5","true"
"188","-2086","5","true"
"189","-1884","5","true"
"190","-1889","5","true"
"191","-1784","5","true"
"192","-2083","5","true"
"193","-1887","5","true"
"194","-1973","5","true"
"195","-1684","5","true"
"196","-1891","5","true"
"197","-1990","5","true"
"198","-2075","5","true"
"199","-2082","5","true"
"200","-1980","5","true"
"201","-2089","5","true"
"202","-1788","5","true"
"203","-1881","5","true"
"204","-1887","5","true"
"205","-1669","5","true"
"206","-1989","5","true"
"207","-2096","5","true"
"208","-1980","5","true"
"209","-1489","5","true"
"210","-1887","5","true"
"211","-1888","5","true"
"212","-2076","5","true"
"213","-1976","5","true"
"214","-2080","5","true"
"215","-1889","5","true"
"216","-1890","5","true"
"217","-2077","5","true"
"218","-1874","5","true"
"219","-2090","5","true"
"220","-1582","5","true"
"221","-1992","5","true"
"222","-1886","5","true"
"223","-1978","5","true"
"224","-1887","5","true"
"225","-1887","5","true"
"226","-1975","5","true"
"227","-1876","5","true"
"228","-1892","5","true"
"229","-1793","5","true"
"230","-1885","5","true"
"231","-2081","5","true"
"232","-1985","5","true"
"233","-1891","5","true"
"234","-1883","5","true"
"235","-1889","5","true"
"236","-1990","5","true"
"237","-1885","5","true"
"238","-1883","5","true"
"239","-1790","5","true"
"240","-1980","5","true"
"241","-2081","5","true"
"242","-1886","5","true"
"243","-2098","5","true"
"244","-2087","5","true"
"245","-1986","5","true"
"246","-1883","5","true"
"247","-1872","5","true"
"248","-1687","5","true"
"249","-1982","5","true"
"250","-2085","5","true"
"251","-1880","5","true"
"252","-1987","5","true"
"253","-1990","5","true"
"254","-2074","5","true"
"255","-2087","5","true"
"256","-1686","5","true"
"257","-1989","5","true"
"258","-2095","5","true"
"259","-1793","5","true"
"260","-1973","5","true"
"261","-1889","5","true"
"262","-1783","5","true"
"263","-1489","5","true"
"264","-1980","5","true"
"265","-1882","5","true"
"266","-1888","5","true"
"267","-1683","5","true"
"268","-1695","5","true"
"269","-1686","5","true"
"270","-1890","5","true"
"271","-1991","5","true"
"272","-1882","5","true"
"273","-1780","5","true"
"274","-1779","5","true"
"275","-1681","5","true"
"276","-1783","5","true"
"277","-1990","5","true"
"278","-1874","5","true"
"279","-1882","5","true"
"280","-2085","5","true"
"281","-2087","5","true"
"282","-1886","5","true"
"283","-1887","5","true"
"284","-1982","5","true"
"285","-1581","5","true"
"286","-1588","5","true"
"287","-1985","5","true"
"288","-1985","5","true"
"289","-1787","5","true"
"290","-1874","5","true"
"291","-1888","5","true"
"292","-1989","5","true"
"293","-1987","5","true"
"294","-1986","5","true"
"295","-1988","5","true"
"296","-2084","5","true"
"297","-1784","5","true"
"298","-1985","5","true"
"299","-1678","5","true"
"300","-1781","5","true"
"301","-2093","5","true"
"302","-1986","5","true"
"303","-1990","5","true"
"304","-2082","5","true"
"305","-1784","5","true"
"306","-1881","5","true"
"307","-1880","5","true"
"308","-1982","5","true"
"309","-1688","5","true"
"310","-1990","5","true"
"311","-1887","5","true"
"312","-1789","5","true"
"313","-1785","5","true"
"314","-1787","5","true"
"315","-1881","5","true"
"316","-1877","5","true"
"317","-1886","5","true"
"318","-1892","5","true"
"319","-1993","5","true"
"320","-1985","5","true"
"321","-1984","5","true"
"322","-2077","5","true"
"323","-1993","5","true"
"324","-1687","5","true"
"325","-1788","5","true"
"326","-2086","5","true"
"327","-2075","5","true"
"328","-2085","5","true"
"329","-1886","5","true"
"330","-1986","5","true"
"331","-1987","5","true"
"332","-1979","5","true"
"333","-1896","5","true"
"334","-1885","5","true"
"335","-1781","5","true"
"336","-1978","5","true"
"337","-2095","5","true"
"338","-1877","5","true"
"339","-1985","5","true"
"340","-1990","5","true"
"341","-1885","5","true"
"342","-1778","5","true"
"343","-1977","5","true"
"344","-1795","5","true"
"345","-1988","5","true"
"346","-1977","5","true"
"347","-2092","5","true"
"348","-2097","5","true"
"349","-2083","5","true"
"350","-1878","5","true"
