"export-plot data (NetLogo 6.2.2)"
"pong.nlogo"
"07/02/2022 15:43:19:728 +0200"

"MODEL SETTINGS"
"gamma","smoother","episodes","random-move-prob","epsilon"
"0.7","50","20000","0.3","0.17858137656955353"

"""Average reward per episode"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","20500","-2200","590","true","""pen-0""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""pen-0""","true","0","1","5","19999"

"""pen-0"""
"x","y","color","pen down?"
"0","-1995","5","true"
"1","-1481","5","true"
"2","-1798","5","true"
"3","-1884","5","true"
"4","-1784","5","true"
"5","-1879","5","true"
"6","-2086","5","true"
"7","-1678","5","true"
"8","-1788","5","true"
"9","-1992","5","true"
"10","-2091","5","true"
"11","-1777","5","true"
"12","-2092","5","true"
"13","-1789","5","true"
"14","-1882","5","true"
"15","-1990","5","true"
"16","-1892","5","true"
"17","-1884","5","true"
"18","-1980","5","true"
"19","-1683","5","true"
"20","-1783","5","true"
"21","-1984","5","true"
"22","-1885","5","true"
"23","-1792","5","true"
"24","-1881","5","true"
"25","-1977","5","true"
"26","-1677","5","true"
"27","-1782","5","true"
"28","-1289","5","true"
"29","-1895","5","true"
"30","-1687","5","true"
"31","-1682","5","true"
"32","-1681","5","true"
"33","-1683","5","true"
"34","-1986","5","true"
"35","-1990","5","true"
"36","-1488","5","true"
"37","-2096","5","true"
"38","-1589","5","true"
"39","-1975","5","true"
"40","-1587","5","true"
"41","-1592","5","true"
"42","-1994","5","true"
"43","-1987","5","true"
"44","-1886","5","true"
"45","-2084","5","true"
"46","-1797","5","true"
"47","-1790","5","true"
"48","-1782","5","true"
"49","-1791","5","true"
"50","-1780","5","true"
"51","-1794","5","true"
"52","-1789","5","true"
"53","-1684","5","true"
"54","-1886","5","true"
"55","-1788","5","true"
"56","-1882","5","true"
"57","-1591","5","true"
"58","-1983","5","true"
"59","-1795","5","true"
"60","-1992","5","true"
"61","-1987","5","true"
"62","-1782","5","true"
"63","-2091","5","true"
"64","-1475","5","true"
"65","-1889","5","true"
"66","-1983","5","true"
"67","-1783","5","true"
"68","-2094","5","true"
"69","-1585","5","true"
"70","-1786","5","true"
"71","-1979","5","true"
"72","-1892","5","true"
"73","-1688","5","true"
"74","-1677","5","true"
"75","-1784","5","true"
"76","-1981","5","true"
"77","-1790","5","true"
"78","-1586","5","true"
"79","-1887","5","true"
"80","-2093","5","true"
"81","-1882","5","true"
"82","-1785","5","true"
"83","-1982","5","true"
"84","-1883","5","true"
"85","-1479","5","true"
"86","-1986","5","true"
"87","-1889","5","true"
"88","-1988","5","true"
"89","-1892","5","true"
"90","-1888","5","true"
"91","-1787","5","true"
"92","-1780","5","true"
"93","-1788","5","true"
"94","-1969","5","true"
"95","-1776","5","true"
"96","-2085","5","true"
"97","-1885","5","true"
"98","-1692","5","true"
"99","-2090","5","true"
"100","-1685","5","true"
"101","-1993","5","true"
"102","-1684","5","true"
"103","-1892","5","true"
"104","-2082","5","true"
"105","-1789","5","true"
"106","-1487","5","true"
"107","-1985","5","true"
"108","-1372","5","true"
"109","-1876","5","true"
"110","-1882","5","true"
"111","-1886","5","true"
"112","-1581","5","true"
"113","-1784","5","true"
"114","-1779","5","true"
"115","-2083","5","true"
"116","-1885","5","true"
"117","-1573","5","true"
"118","-1979","5","true"
"119","-1569","5","true"
"120","-1681","5","true"
"121","-1984","5","true"
"122","-1786","5","true"
"123","-1788","5","true"
"124","-1884","5","true"
"125","-1880","5","true"
"126","-1691","5","true"
"127","-1995","5","true"
"128","-1579","5","true"
"129","-1692","5","true"
"130","-1879","5","true"
"131","-1791","5","true"
"132","-1794","5","true"
"133","-2084","5","true"
"134","-1876","5","true"
"135","-1787","5","true"
"136","-1883","5","true"
"137","-1987","5","true"
"138","-1877","5","true"
"139","-1577","5","true"
"140","-1974","5","true"
"141","-1872","5","true"
"142","-1978","5","true"
"143","-1783","5","true"
"144","-1881","5","true"
"145","-1990","5","true"
"146","-1886","5","true"
"147","-1980","5","true"
"148","-1985","5","true"
"149","-1887","5","true"
"150","-1788","5","true"
"151","-1793","5","true"
"152","-1482","5","true"
"153","-1489","5","true"
"154","-2089","5","true"
"155","-1373","5","true"
"156","-1683","5","true"
"157","-1886","5","true"
"158","-1989","5","true"
"159","-1688","5","true"
"160","-1777","5","true"
"161","-1780","5","true"
"162","-2089","5","true"
"163","-1688","5","true"
"164","-1981","5","true"
"165","-1990","5","true"
"166","-1781","5","true"
"167","-1883","5","true"
"168","-1977","5","true"
"169","-1888","5","true"
"170","-1474","5","true"
"171","-1891","5","true"
"172","-1485","5","true"
"173","-1489","5","true"
"174","-1989","5","true"
"175","-1884","5","true"
"176","-1784","5","true"
"177","-1977","5","true"
"178","-1270","5","true"
"179","-2094","5","true"
"180","-1777","5","true"
"181","-1884","5","true"
"182","-1689","5","true"
"183","-2096","5","true"
"184","-1889","5","true"
"185","-1575","5","true"
"186","-1790","5","true"
"187","-1585","5","true"
"188","-2075","5","true"
"189","-1877","5","true"
"190","-2088","5","true"
"191","-1581","5","true"
"192","-1882","5","true"
"193","-1980","5","true"
"194","-1983","5","true"
"195","-1690","5","true"
"196","-1785","5","true"
"197","-1479","5","true"
"198","-1480","5","true"
"199","-2085","5","true"
"200","-1584","5","true"
"201","-1982","5","true"
"202","-1687","5","true"
"203","-1986","5","true"
"204","-2087","5","true"
"205","-1991","5","true"
"206","-1879","5","true"
"207","-1777","5","true"
"208","-1881","5","true"
"209","-1895","5","true"
"210","-1581","5","true"
"211","-1780","5","true"
"212","-1989","5","true"
"213","-1682","5","true"
"214","-1785","5","true"
"215","-1892","5","true"
"216","-1675","5","true"
"217","-1785","5","true"
"218","-1987","5","true"
"219","-1673","5","true"
"220","-1877","5","true"
"221","-1694","5","true"
"222","-2086","5","true"
"223","-1787","5","true"
"224","-1887","5","true"
"225","-1993","5","true"
"226","-1883","5","true"
"227","-1983","5","true"
"228","-1881","5","true"
"229","-2080","5","true"
"230","-2091","5","true"
"231","-1784","5","true"
"232","-1978","5","true"
"233","-1575","5","true"
"234","-1669","5","true"
"235","-2089","5","true"
"236","-1985","5","true"
"237","-1585","5","true"
"238","-1883","5","true"
"239","-1677","5","true"
"240","-1882","5","true"
"241","-1976","5","true"
"242","-1789","5","true"
"243","-1483","5","true"
"244","-1872","5","true"
"245","-1787","5","true"
"246","-1789","5","true"
"247","-1482","5","true"
"248","-2088","5","true"
"249","-1778","5","true"
"250","-1787","5","true"
"251","-1688","5","true"
"252","-1687","5","true"
"253","-1987","5","true"
"254","-1790","5","true"
"255","-1889","5","true"
"256","-1783","5","true"
"257","-1787","5","true"
"258","-2092","5","true"
"259","-1885","5","true"
"260","-1687","5","true"
"261","-2088","5","true"
"262","-2083","5","true"
"263","-1675","5","true"
"264","-1783","5","true"
"265","-1679","5","true"
"266","-1885","5","true"
"267","-1679","5","true"
"268","-1787","5","true"
"269","-1576","5","true"
"270","-1790","5","true"
"271","-1991","5","true"
"272","-1688","5","true"
"273","-1994","5","true"
"274","-1992","5","true"
"275","-1792","5","true"
"276","-1881","5","true"
"277","-1891","5","true"
"278","-1579","5","true"
"279","-1986","5","true"
"280","-1986","5","true"
"281","-1685","5","true"
"282","-1782","5","true"
"283","-1787","5","true"
"284","-2092","5","true"
"285","-1177","5","true"
"286","-1892","5","true"
