"export-plot data (NetLogo 6.2.2)"
"pong.nlogo"
"06/29/2022 22:00:07:079 +0200"

"MODEL SETTINGS"
"episodes","smoother","gamma","random-move-prob","epsilon"
"20000","50","0.7","0.5","0.17858137656955353"

"""Average reward per episode"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","20500","-2290","1260","true","""pen-0""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""pen-0""","true","0","1","5","19999"

"""pen-0"""
"x","y","color","pen down?"
"0","-1283","5","true"
"1","-1188","5","true"
"2","-1786","5","true"
"3","-1179","5","true"
"4","-1586","5","true"
"5","-1672","5","true"
"6","-1590","5","true"
"7","-985","5","true"
"8","-1891","5","true"
"9","-1873","5","true"
"10","-1892","5","true"
"11","-1686","5","true"
"12","-1284","5","true"
"13","-1691","5","true"
"14","-1587","5","true"
"15","-1885","5","true"
"16","-1488","5","true"
"17","-1386","5","true"
"18","-1686","5","true"
"19","-1489","5","true"
"20","-964","5","true"
"21","-1683","5","true"
"22","-1379","5","true"
"23","-1789","5","true"
"24","-1685","5","true"
"25","-1581","5","true"
"26","-1580","5","true"
"27","-1788","5","true"
"28","-1586","5","true"
"29","-1480","5","true"
"30","-1777","5","true"
"31","-1861","5","true"
"32","-580","5","true"
"33","-1787","5","true"
"34","-2080","5","true"
"35","-1789","5","true"
"36","-1786","5","true"
"37","-1586","5","true"
"38","-985","5","true"
"39","-1791","5","true"
"40","-1580","5","true"
"41","-1477","5","true"
"42","-1384","5","true"
"43","-1374","5","true"
"44","-1878","5","true"
"45","-1995","5","true"
"46","-1590","5","true"
"47","-1494","5","true"
"48","-1787","5","true"
"49","-1783","5","true"
"50","-1185","5","true"
"51","-1880","5","true"
"52","-1883","5","true"
"53","-1582","5","true"
"54","-1180","5","true"
"55","-1988","5","true"
"56","-1889","5","true"
"57","-1483","5","true"
"58","-1786","5","true"
"59","-1788","5","true"
"60","-1285","5","true"
"61","-1880","5","true"
"62","-1479","5","true"
"63","-1879","5","true"
"64","-1587","5","true"
"65","-1566","5","true"
"66","-2078","5","true"
"67","-1882","5","true"
"68","-1788","5","true"
"69","-1790","5","true"
"70","-1684","5","true"
"71","-1485","5","true"
"72","-1789","5","true"
"73","-1686","5","true"
"74","-1586","5","true"
"75","-1684","5","true"
"76","-1891","5","true"
"77","-1686","5","true"
"78","-2096","5","true"
"79","-1586","5","true"
"80","-1589","5","true"
"81","-1391","5","true"
"82","-1581","5","true"
"83","-1680","5","true"
"84","-1584","5","true"
"85","-1690","5","true"
"86","-1890","5","true"
"87","-1486","5","true"
"88","-1986","5","true"
"89","-1686","5","true"
"90","-1786","5","true"
"91","-1581","5","true"
"92","-1589","5","true"
"93","-1486","5","true"
"94","-1191","5","true"
"95","-1684","5","true"
"96","-1683","5","true"
"97","-1883","5","true"
"98","-1592","5","true"
"99","-1381","5","true"
"100","-1687","5","true"
"101","-1686","5","true"
"102","-1689","5","true"
"103","-1383","5","true"
"104","-1686","5","true"
"105","-1784","5","true"
"106","-1379","5","true"
"107","-1688","5","true"
"108","-1387","5","true"
"109","-1387","5","true"
"110","-1277","5","true"
"111","-1888","5","true"
"112","-1989","5","true"
"113","-1792","5","true"
"114","-1670","5","true"
"115","-1381","5","true"
"116","-1779","5","true"
"117","-1896","5","true"
"118","-1885","5","true"
"119","-1784","5","true"
"120","-1273","5","true"
"121","-1890","5","true"
"122","-1586","5","true"
"123","-1775","5","true"
"124","-1686","5","true"
"125","-1895","5","true"
"126","-1486","5","true"
"127","-1789","5","true"
"128","-1584","5","true"
"129","-1484","5","true"
"130","-1789","5","true"
"131","-1694","5","true"
"132","-1985","5","true"
"133","-1484","5","true"
"134","-2094","5","true"
"135","-1683","5","true"
"136","-1682","5","true"
"137","-1280","5","true"
"138","-1386","5","true"
"139","-1783","5","true"
"140","-1880","5","true"
"141","-2085","5","true"
"142","-1480","5","true"
"143","-1688","5","true"
"144","-1491","5","true"
"145","-1889","5","true"
"146","-1576","5","true"
"147","-1685","5","true"
"148","-1892","5","true"
"149","-1482","5","true"
"150","-1484","5","true"
"151","-1693","5","true"
"152","-1480","5","true"
"153","-1882","5","true"
"154","-1882","5","true"
"155","-1384","5","true"
"156","-1882","5","true"
"157","-1582","5","true"
"158","-1787","5","true"
"159","-1374","5","true"
"160","-1683","5","true"
"161","-1080","5","true"
"162","-1584","5","true"
"163","-1477","5","true"
"164","-1775","5","true"
"165","-1390","5","true"
"166","-1475","5","true"
"167","-1983","5","true"
"168","-1587","5","true"
"169","-1685","5","true"
"170","-1390","5","true"
"171","-1689","5","true"
"172","-1083","5","true"
"173","-1692","5","true"
"174","-582","5","true"
"175","-1892","5","true"
"176","-1675","5","true"
"177","-1176","5","true"
"178","-1793","5","true"
"179","-1985","5","true"
"180","-1792","5","true"
"181","-1680","5","true"
"182","-1590","5","true"
"183","-1689","5","true"
"184","-1387","5","true"
"185","-1887","5","true"
"186","-1685","5","true"
"187","-1387","5","true"
"188","-1586","5","true"
"189","-1793","5","true"
"190","-1188","5","true"
"191","-1684","5","true"
"192","-1692","5","true"
"193","-1779","5","true"
"194","-1693","5","true"
"195","-1780","5","true"
"196","-1582","5","true"
"197","-1680","5","true"
"198","-1793","5","true"
"199","-1991","5","true"
"200","-1684","5","true"
"201","-2091","5","true"
"202","-1283","5","true"
"203","-1682","5","true"
"204","-1182","5","true"
"205","-1381","5","true"
"206","-1674","5","true"
"207","-1683","5","true"
"208","-1893","5","true"
"209","-1893","5","true"
"210","-1887","5","true"
"211","-1583","5","true"
"212","-1783","5","true"
"213","-1690","5","true"
"214","-2087","5","true"
"215","-1691","5","true"
"216","-1385","5","true"
"217","-1692","5","true"
"218","-1388","5","true"
"219","-1488","5","true"
"220","-1584","5","true"
"221","-1579","5","true"
"222","-1583","5","true"
"223","-1992","5","true"
"224","-1784","5","true"
"225","-1181","5","true"
"226","-1686","5","true"
"227","-1581","5","true"
"228","-1782","5","true"
"229","-1594","5","true"
"230","-1684","5","true"
"231","-1481","5","true"
"232","-1684","5","true"
"233","-1483","5","true"
"234","-1689","5","true"
"235","-1685","5","true"
"236","-1187","5","true"
"237","-1281","5","true"
"238","-1487","5","true"
"239","-1976","5","true"
"240","-1187","5","true"
"241","-1996","5","true"
"242","-1386","5","true"
"243","-1881","5","true"
"244","-1891","5","true"
"245","-1686","5","true"
"246","-1486","5","true"
"247","-1889","5","true"
"248","-1989","5","true"
"249","-1785","5","true"
"250","-1381","5","true"
"251","-1583","5","true"
"252","-1887","5","true"
"253","-1684","5","true"
"254","-1893","5","true"
"255","-1988","5","true"
"256","-1989","5","true"
"257","-1478","5","true"
"258","-1580","5","true"
"259","-1888","5","true"
"260","-1894","5","true"
"261","-1789","5","true"
"262","-1483","5","true"
"263","-1593","5","true"
"264","-1283","5","true"
"265","-1685","5","true"
"266","-1182","5","true"
"267","-1692","5","true"
"268","-1786","5","true"
"269","-1572","5","true"
"270","-1689","5","true"
"271","-1584","5","true"
"272","-1778","5","true"
"273","-1684","5","true"
"274","-883","5","true"
"275","-1379","5","true"
"276","-1685","5","true"
"277","-1782","5","true"
"278","-1776","5","true"
"279","-1991","5","true"
"280","-1788","5","true"
"281","-1992","5","true"
"282","-1784","5","true"
"283","-1184","5","true"
"284","-1190","5","true"
"285","-1393","5","true"
"286","-1787","5","true"
"287","-1678","5","true"
"288","-1783","5","true"
"289","-1585","5","true"
"290","-1795","5","true"
"291","-1587","5","true"
"292","-1589","5","true"
"293","-1787","5","true"
"294","-1876","5","true"
"295","-1585","5","true"
"296","-1790","5","true"
"297","-1483","5","true"
"298","-1587","5","true"
"299","-1480","5","true"
"300","-1772","5","true"
"301","-1378","5","true"
"302","-1789","5","true"
"303","-1689","5","true"
"304","-1785","5","true"
"305","-1493","5","true"
"306","-1484","5","true"
"307","-1484","5","true"
"308","-1785","5","true"
"309","-1582","5","true"
"310","-1593","5","true"
"311","-1383","5","true"
"312","-1780","5","true"
"313","-2096","5","true"
"314","-1385","5","true"
"315","-1688","5","true"
"316","-1771","5","true"
"317","-1173","5","true"
"318","-1778","5","true"
"319","-2082","5","true"
"320","-1689","5","true"
"321","-1583","5","true"
"322","-1082","5","true"
"323","-1272","5","true"
"324","-1577","5","true"
"325","-1480","5","true"
"326","-1686","5","true"
"327","-1582","5","true"
"328","-1687","5","true"
"329","-1882","5","true"
"330","-1879","5","true"
"331","-1878","5","true"
"332","-1977","5","true"
"333","-1790","5","true"
"334","-1784","5","true"
"335","-1986","5","true"
"336","-1784","5","true"
"337","-1385","5","true"
"338","-1586","5","true"
"339","-1692","5","true"
"340","-1576","5","true"
"341","-1485","5","true"
"342","-1682","5","true"
"343","-1891","5","true"
"344","-877","5","true"
"345","-1280","5","true"
"346","-1577","5","true"
"347","-1077","5","true"
"348","-1589","5","true"
"349","-1998","5","true"
"350","-1485","5","true"
"351","-1877","5","true"
"352","-1781","5","true"
"353","-2092","5","true"
"354","-1580","5","true"
"355","-2098","5","true"
"356","-1187","5","true"
"357","-1788","5","true"
"358","-1475","5","true"
"359","-1693","5","true"
"360","-1784","5","true"
"361","-1683","5","true"
"362","-1494","5","true"
"363","-2088","5","true"
"364","-1579","5","true"
"365","-1789","5","true"
"366","-1180","5","true"
"367","-1795","5","true"
"368","-1795","5","true"
"369","-1585","5","true"
"370","-1786","5","true"
"371","-1678","5","true"
"372","-1481","5","true"
"373","-1984","5","true"
"374","-1680","5","true"
"375","-1981","5","true"
"376","-1482","5","true"
"377","-1893","5","true"
"378","-1886","5","true"
"379","-1588","5","true"
"380","-1690","5","true"
"381","-1892","5","true"
"382","-1380","5","true"
"383","-1987","5","true"
"384","-1386","5","true"
"385","-1582","5","true"
"386","-1590","5","true"
"387","-1684","5","true"
"388","-1785","5","true"
"389","-1891","5","true"
"390","-1584","5","true"
"391","-1691","5","true"
"392","-1591","5","true"
"393","-1183","5","true"
"394","-1379","5","true"
"395","-1687","5","true"
"396","-1584","5","true"
"397","-1886","5","true"
"398","-1583","5","true"
"399","-1387","5","true"
"400","-1785","5","true"
"401","-1580","5","true"
"402","-1490","5","true"
"403","-1583","5","true"
"404","-1586","5","true"
"405","-1786","5","true"
"406","-1573","5","true"
"407","-1886","5","true"
"408","-1791","5","true"
"409","-1272","5","true"
"410","-1887","5","true"
"411","-1186","5","true"
"412","-1788","5","true"
"413","-1584","5","true"
"414","-1879","5","true"
"415","-1887","5","true"
"416","-1790","5","true"
"417","-1787","5","true"
"418","-1884","5","true"
"419","-1688","5","true"
"420","-1682","5","true"
"421","-1784","5","true"
"422","-1282","5","true"
"423","-1375","5","true"
"424","-1490","5","true"
"425","-1284","5","true"
"426","-1783","5","true"
"427","-1785","5","true"
"428","-1984","5","true"
"429","-2090","5","true"
"430","-1182","5","true"
"431","-1684","5","true"
"432","-1685","5","true"
"433","-1381","5","true"
"434","-1881","5","true"
"435","-1175","5","true"
"436","-1477","5","true"
"437","-1681","5","true"
"438","-1379","5","true"
"439","-1583","5","true"
"440","-1582","5","true"
"441","-1787","5","true"
"442","-1485","5","true"
"443","-1277","5","true"
"444","-1474","5","true"
"445","-1678","5","true"
"446","-1888","5","true"
"447","-1486","5","true"
"448","-1474","5","true"
"449","-1680","5","true"
"450","-1791","5","true"
"451","-1979","5","true"
"452","-1774","5","true"
"453","-1884","5","true"
"454","-1385","5","true"
"455","-1378","5","true"
"456","-2084","5","true"
"457","-777","5","true"
"458","-2084","5","true"
"459","-1792","5","true"
"460","-1483","5","true"
"461","-1778","5","true"
"462","-1481","5","true"
"463","-1685","5","true"
"464","-1874","5","true"
"465","-1582","5","true"
"466","-1895","5","true"
"467","-1280","5","true"
"468","-1785","5","true"
