"[-8 -4 -7]",[0 0]
"[-8 -4 -6]",[0 0]
"[-8 -4 -5]",[0 0]
"[-8 -4 -4]",[0.010127462789514647 0.00808694187360601]
"[-8 -4 -3]",[0.02117678491624436 0.021213159967479085]
"[-8 -4 -2]",[0.02034807108369469 0.018337010182711444]
"[-8 -4 -1]",[0.02490495444227116 0.024867951883735858]
"[-8 -4 0]",[0.031359739778889326 0.031442689429034595]
"[-8 -4 1]",[0.04543641048785643 0.047434446979364546]
"[-8 -4 2]",[0.03604910819520079 0.03523013287376639]
"[-8 -4 3]",[0.03410426708418747 0.03578306116763174]
"[-8 -4 4]",[0.014545200467208927 0.015166673556540576]
"[-8 -4 5]",[-9.983019431040185E-4 -3.462714303936091E-4]
"[-8 -4 6]",[-0.07545103238698603 -0.07112108295425276]
"[-8 -4 7]",[-0.08132126841827018 -0.09305852765924687]
"[-8 -3 -7]",[0.008002863715229775 0.009650119920244036]
"[-8 -3 -6]",[0.007990218178299105 -0.8316846292177089]
"[-8 -3 -5]",[0.009294346478707709 -0.6607185027560714]
"[-8 -3 -4]",[-0.9900606728261873 -0.9760486557848761]
"[-8 -3 -3]",[-0.9649428391844029 -0.9552489272894328]
"[-8 -3 -2]",[-0.9725343769909065 -0.9717369837550621]
"[-8 -3 -1]",[-0.9494953042928609 -0.9555167409970186]
"[-8 -3 0]",[-0.958685894870821 -0.9583442028061183]
"[-8 -3 1]",[-0.9491510731799906 -0.9483925338363898]
"[-8 -3 2]",[-0.9465237359887455 -0.9447830881334022]
"[-8 -3 3]",[-0.9622461053219272 -0.960993094320271]
"[-8 -3 4]",[-0.9649244797068522 -0.9656766656343261]
"[-8 -3 5]",[-0.9847638053333206 -0.9964988246560064]
"[-8 -3 6]",[-1.0023553522350124 -1.0238185604113466]
"[-8 -3 7]",[-1.0592989344589014 -1.0605511414497768]
"[-8 -2 -7]",[0.008407022006964728 0.008163870513772242]
"[-8 -2 -6]",[0.008163713577580254 0.012100649778847776]
"[-8 -2 -5]",[0.007675765247515418 0.006991168504486353]
"[-8 -2 -4]",[0.008607544327635667 -0.6874051265888268]
"[-8 -2 -3]",[0.007303840528321237 -0.8073769506333756]
"[-8 -2 -2]",[-0.8493906120053623 -0.8469769905268849]
"[-8 -2 -1]",[-0.8173003164035354 -0.8161492650587867]
"[-8 -2 0]",[-0.8095439046924184 -0.8064993534604814]
"[-8 -2 1]",[-0.7535703504342502 -0.7607468180300636]
"[-8 -2 2]",[-0.7724932260878165 -0.7795074067689611]
"[-8 -2 3]",[-0.7683636021787414 -0.777765796510415]
"[-8 -2 4]",[-0.774807485562009 -0.7675022561686049]
"[-8 -2 5]",[-0.7594361625094745 -0.751319404447428]
"[-8 -2 6]",[-0.8331236483125614 -0.8375783175776369]
"[-8 -2 7]",[-0.8335055520536787 -0.8311911434441211]
"[-8 -1 -7]",[0.00945870367620203 0.011465583047687739]
"[-8 -1 -6]",[0.011946883787564115 0.008671745589412475]
"[-8 -1 -5]",[0.013165098702220624 0.00793490866451326]
"[-8 -1 -4]",[0.009564362410393244 -0.1268843235602824]
"[-8 -1 -3]",[0.007194216198440357 -0.28455026128367206]
"[-8 -1 -2]",[-0.16084826360067597 -0.5535823428746607]
"[-8 -1 -1]",[-0.3704065251248308 -0.47517048145095503]
"[-8 -1 0]",[-0.2959715037155138 -0.37886365283666984]
"[-8 -1 1]",[-0.26519776068609563 -0.24214090281108566]
"[-8 -1 2]",[-0.28123260139546025 -0.26806272590121644]
"[-8 -1 3]",[-0.14258389926748494 -0.16514286247511875]
"[-8 -1 4]",[-0.24837176044754417 -0.2176369501260475]
"[-8 -1 5]",[-0.055971374329220946 -0.06266769493739124]
"[-8 -1 6]",[-0.07924829764396976 -0.10118639334735828]
"[-8 -1 7]",[-0.05807973445418576 -0.05306499668560364]
"[-8 0 -7]",[0.012072676915210955 0.00931753236000698]
"[-8 0 -6]",[0.01105631729604697 0.0205866489371322]
"[-8 0 -5]",[0.007888134816709741 0.007423190844368964]
"[-8 0 -4]",[0.012061644490898095 0.010708278869927115]
"[-8 0 -3]",[0.007097316414045831 -0.1251773842016489]
"[-8 0 -2]",[0.007278676107096144 -0.41542853750864134]
"[-8 0 -1]",[-0.1283367448987104 -0.4065811601928019]
"[-8 0 0]",[-0.23253191002637244 -0.23686470913324975]
"[-8 0 1]",[-0.17091713257530702 -0.2046148645555247]
"[-8 0 2]",[-0.0600505156906074 -0.08707056537862085]
"[-8 0 3]",[0 0]
"[-8 0 4]",[-0.034654106727272295 -0.003573753635322343]
"[-8 0 5]",[0 0]
"[-8 0 6]",[0 0]
"[-8 0 7]",[0 0]
"[-8 1 -7]",[0.015743988512316738 0.03139383341639546]
"[-8 1 -6]",[0.02228167556320008 0.010967550490854867]
"[-8 1 -5]",[0.01904667739783279 0.01449175648456016]
"[-8 1 -4]",[0.009261050156328393 0.008008960375373578]
"[-8 1 -3]",[0.009388246324773374 0.00816813376536852]
"[-8 1 -2]",[0.006900718256736956 -0.07040137994007707]
"[-8 1 -1]",[0.007991881969124414 -0.2712911007729964]
"[-8 1 0]",[-0.07443170795034885 -0.07339277335465627]
"[-8 1 1]",[-0.08088737477334837 -0.06427759176563155]
"[-8 1 2]",[-0.05376979714973351 -0.058809432391650984]
"[-8 1 3]",[-0.003358434215292374 -0.007692297109844308]
"[-8 1 4]",[0 0]
"[-8 1 5]",[0 0]
"[-8 1 6]",[0 0]
"[-8 1 7]",[0 0]
"[-8 2 -7]",[0.07106385393237678 0.021169088664330624]
"[-8 2 -6]",[0.018397364110858294 0.047623145566404915]
"[-8 2 -5]",[0.07920127568145995 0.014575009447394927]
"[-8 2 -4]",[0.03422972294708902 0.015980087188181172]
"[-8 2 -3]",[0.027264994205940418 0.011645751690412083]
"[-8 2 -2]",[0.014001389478984851 0.012466059832844278]
"[-8 2 -1]",[0.020023583865559913 0.017653065708763946]
"[-8 2 0]",[0.06258785347535689 0.029702153561986903]
"[-8 2 1]",[0.13336035522579415 0.025615349787695176]
"[-8 2 2]",[0.05248515591115445 8.108178876990003E-4]
"[-8 2 3]",[0.0021979556672574326 -4.9983125831082986E-5]
"[-8 2 4]",[0.006046021440774364 0]
"[-8 2 5]",[-3.580055669056093E-6 0]
"[-8 2 6]",[9.930312114021697E-5 0]
"[-8 2 7]",[0 0]
"[-8 3 -7]",[0.13174097049192254 0.029652547730645032]
"[-8 3 -6]",[0.14131094011332826 0.03223858370055107]
"[-8 3 -5]",[0.17516455577651907 0.03135481240358332]
"[-8 3 -4]",[0.18614920355190762 0.02702920085902369]
"[-8 3 -3]",[0.10210683285301664 0.0421620909285664]
"[-8 3 -2]",[0.30698434219762205 0.18103526928574148]
"[-8 3 -1]",[0.43484023352823675 0.2222144721345657]
"[-8 3 0]",[0.5714314643643847 0.169661338265157]
"[-8 3 1]",[0.08512456242555087 0.10960271039949443]
"[-8 3 2]",[0.24231512133046237 0.002649509708388816]
"[-8 3 3]",[0.10000047829690001 0.0017071991684341693]
"[-8 3 4]",[0.00428632012125422 0]
"[-8 3 5]",[0 0]
"[-8 3 6]",[0 0]
"[-8 3 7]",[0 0]
"[-8 4 -7]",[-0.18169434338233328 -0.25450100572569834]
"[-8 4 -6]",[-0.13137852448456316 -0.09816482353205448]
"[-8 4 -5]",[-0.02892321507170637 -0.012991963029232818]
"[-8 4 -4]",[0.009482771133171992 0.005342293490061484]
"[-8 4 -3]",[0.018942796854186154 0.018799035708928283]
"[-8 4 -2]",[0.028544643881938937 0.029004474701675886]
"[-8 4 -1]",[0.03855626370275553 0.04633225297711331]
"[-8 4 0]",[0.026648061262417082 0]
"[-8 4 1]",[0.011208366444788006 0.019300277687221284]
"[-8 4 2]",[0.03062981424645659 0.012127505267370501]
"[-8 4 3]",[0 0]
"[-8 4 4]",[0 0]
"[-8 4 5]",[0 0]
"[-8 4 6]",[0 0]
"[-8 4 7]",[0 0]
"[-7 -4 -7]",[0 0]
"[-7 -4 -6]",[0 0]
"[-7 -4 -5]",[-0.025380862116776697 -0.016955003038970268]
"[-7 -4 -4]",[0.0031673115293305667 0.012684232498272944]
"[-7 -4 -3]",[0.01806214354520533 0.01360339746971432]
"[-7 -4 -2]",[0.01791834311047606 0.02044094646505433]
"[-7 -4 -1]",[0.02265386451880447 0.022207898144351028]
"[-7 -4 0]",[0.023742183850352275 0.024615361422966473]
"[-7 -4 1]",[0.025993174102620382 0.02632301264902635]
"[-7 -4 2]",[0.02445176845847366 0.024400711295600883]
"[-7 -4 3]",[0.02103415233989479 0.02169960543231481]
"[-7 -4 4]",[0.010227512739306693 0.010210330799222402]
"[-7 -4 5]",[-0.016542149717669347 -0.02024148116270376]
"[-7 -4 6]",[-0.09754136856928744 -0.09903121611685615]
